"ISO","Cases_Resistance_1","Cases_Resilience_1","Cases_Reduction_1","Cases_R2_fit_1","Tests_Resistance_1","Tests_Resilience_1","Tests_Reduction_1","Tests_R2_fit_1","Deaths_Resistance_1","Deaths_Resilience_1","Deaths_Reduction_1","Deaths_R2_fit_1","Cases_Resistance_2","Cases_Resilience_2","Cases_Reduction_2","Cases_R2_fit_2","Tests_Resistance_2","Tests_Resilience_2","Tests_Reduction_2","Tests_R2_fit_2","Deaths_Resistance_2","Deaths_Resilience_2","Deaths_Reduction_2","Deaths_R2_fit_2"
"GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",-5.89342218418206e-05,0.00617199725984797,0.565334236247916,0.89274921378723,-0.384075469268167,0.00900947806121993,0.656687614923525,0.969576649616438,-2.13222389221619e-06,0.0144621310169311,0.659685863874346,0.977968480275314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",-7.6841025275917e-05,0.0177568804692383,0.43216412971542,0.915750767835801,NA,NA,NA,NA,-2.28844880040785e-06,0.0165956886991936,0.598765432098765,0.961701421246628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",-7.81494835535137e-05,0.00248152387840299,0.569893028784042,0.343704012854558,NA,NA,NA,NA,-2.79062028502289e-06,0.0104673408814159,0.795844531734546,0.921229193568223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRV",-1.53558793238346e-05,0.0751373320246162,0.99238578680203,0.956348615597668,-0.147239263803681,0.0641532717853888,0.992322185586434,0.98539713786489,-6.23589008074504e-07,0.055619038482015,0.9375,0.97269465827954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTI",-1.42108775304575e-05,0.0190341067626712,0.958775610960257,0.96230329997015,NA,NA,NA,NA,-2.104795487108e-07,0.025536978522782,1,0.821197893933254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUN",-8.79885304362678e-06,0.0417637737108942,0.931294117647059,0.985901531105837,-0.0446748516712683,0.0424253606852535,0.950102775832866,0.986683465176929,-1.19250337720683e-06,0.0418677248949994,0.986111111111111,0.965023327198816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDN",-1.53316192022772e-05,0.00628601287587905,0.138145155905722,0.916130440070501,-0.155654896799888,0.00256269863644551,0.224758385046702,0.865136447620779,-4.17806694654719e-07,0.0041590312215601,0.208260413020651,0.897295379985783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",-6.44348387342262e-05,0.0126051115936559,0.54437459542449,0.965077860796555,-0.0849141369321584,0.0116774503096762,0.533056128343,0.950587151670756,-8.16519144611269e-07,0.013970437756054,0.559763202405563,0.954212183185706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRL",-0.0001281138386438,0.0650463182601403,0.984381915902624,0.98999066356809,-0.158514665144114,0.0495326486191928,0.985632211040469,0.985798657607804,-8.83795118307844e-06,0.0418979752058064,0.989000916590284,0.959109873917149,-0.000183596082138671,0.0310178641244369,NA,0.954505651333385,-0.0614924403788892,0.0225217958973339,NA,0.970119209205828,-0.0614924403788892,NA,NA,NA
"IRN",-2.68808265379121e-05,0.03061089974059,0.44700150589069,0.960447161189953,NA,NA,NA,NA,-1.61251623097476e-06,0.0201035778017942,0.592734790313054,0.986170565465481,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015118004238164,0.413539651837524,0.974155498900656
"IRQ",-0.000107035606411665,0.00866931329447424,NA,0.938754094700182,-0.198366233023852,0.00942780575620625,NA,0.70293326135172,-2.43744154857792e-06,0.00541636679449019,NA,0.929262003938257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISL",-0.000175238095238095,0.128440934333361,0.996655518394649,0.978103936117601,-0.0623853211009174,0.0845557907402529,0.990471161714002,0.942089607619367,-1.40659340659341e-06,0.0556063871365439,1,0.798476458451474,-0.000212981684981685,0.0501331982950195,0.822853604843148,0.978182795951278,-0.0387960178125947,0.0275489442329264,0.575796609753303,0.969638703307283,-0.0387960178125947,0.121840956500551,0.907407407407407,0.795935399292517
"ISR",-5.55805812715808e-05,0.07562033916902,0.949447077409163,0.944664444169117,-0.0725084554077267,0.0542624067259383,0.948695054679662,0.951830850015507,-8.27215768488648e-07,0.0429346982003114,0.88268156424581,0.985938589991793,-0.000599532715517147,0.0568326171204552,0.873832207936361,0.962794379842457,-0.111023533580509,0.0466197316841365,0.826488509026629,0.964196250766335,-0.111023533580509,0.0336614959239611,0.760170768458061,0.961352087860686
